NS_code,Nation_State,TARG_HPI_trend_coeff,TARG_HPI_mean,CWGI_Gov_Effect_trend_coeff,CWGI_Gov_Effect_mean,CWGI_Poli_Stable_trend_coeff,CWGI_Poli_Stabl_mean,CWGI_Reg_Quality_trend_coeff,CWGI_Reg_Quality_mean,CWGI_Rule_of_Law_trend_coeff,CWGI_Rule_of_Law_mean,EW_Banks_per_cap_trend_coeff,EW_Banks_per_cap_mean,EW_Firms_Fem_trend_coeff,EW_Firms_Fem_mean,EW_GINI_trend_coeff,EW_GINI_mean,EW_Startup_Time_trend_coeff,EW_Startup_Time_mean,PTI_CPI_trend_coeff,PTI_CPI_mean,PW_Women_Legis_coeff,PW_Women_Legis_mean,PWGI_Corruption_Ctrl_coeff,PWGI_Corruption_Ctrl_mean,PWGI_Voice_Acct_coeff,PWGI_Voice_Acct_mean
HND,Honduras,-0.149881764,1.186750726,0.005019583,-0.766926473,0.00310999,-0.500138282,0.007949243,-0.454214795,-0.001743045,-0.932472228,0.122053077,16.52450795,-0.053588656,31.19894074,-0.187852868,56.23749715,-0.557045158,54.52083333,-0.022601238,1.134557206,0.313891046,13.54146404,0.006606877,-0.940083704,-0.001252222,-0.343215301
HKG,Hong Kong,-0.139935993,-0.475353135,0.016893028,1.427161624,0.018311441,0.694198158,0.001970805,1.921867476,0.027395756,1.094773005,-0.028952829,23.28659908,,,,,-0.188802649,9.09375,0.01337082,-0.803304725,,,0.007250619,1.602211243,0.005181629,0.344162443
HUN,Hungary,0.031847958,-0.320173794,-0.005485057,0.794112434,-0.004907236,0.871425431,0.002069102,0.938900718,-0.005282427,0.783214638,0.048121751,14.4185995,0.119815752,14.96860883,0.2641892,26.2363393,-1.191597916,40.70833333,-0.012352717,1.157525432,-0.324869834,14.91806821,-0.008546971,0.498038672,-0.007196791,0.952011511
ISL,Iceland,0.02148282,0.13402604,-0.005045948,1.778708693,0.000986796,1.284258583,0.006024266,1.178039123,0.005428639,1.67406746,-1.169963821,78.69015679,,,0.030264872,27.225,0.088281589,5.802083333,0.006122724,-0.126760661,0.571716851,28.55617178,0.009624435,1.863956884,-0.001694156,1.48717538
IND,India,-0.017261122,0.670669794,-0.001436584,-0.09487778,-0.005663857,-1.010486077,0.001410744,-0.40625994,-0.008747806,0.156223541,0.085844637,9.758384538,0,8.9,0.09825495,33.41772045,-0.095554711,31.88958333,-0.00362593,-0.612690903,0.182095916,7.537255817,-0.001874058,-0.418874492,0.000155695,0.395195135
IDN,Indonesia,-0.004667503,1.340384515,0.007471123,-0.342911866,0.011747652,-1.143309562,-0.013979242,-0.041860836,-0.005310342,-0.486226479,0.234799516,7.53872295,-0.148584774,29.77816826,0.147125991,33.60511189,-0.64144594,71.28333333,0.025986048,-0.907994951,0.10900606,13.0831413,-0.003810542,-0.658086538,0.024226737,-0.510384938
IRN,Iran,-0.069246496,-0.010598404,0.002281323,-0.527484579,-0.020779309,-0.663717586,0.00318738,-1.555612623,-0.002462271,-0.840843529,0.02716233,28.80870677,,,-0.190941475,44.04601686,-0.240610074,78.85416667,0.005670713,-1.10708779,0.08116956,2.93702793,0.000821925,-0.625210654,-0.019249739,-1.108172742
IRL,Ireland,0.069260047,0.055073541,-0.004786788,1.649873218,-0.005908145,1.229587732,0.004352441,1.64111354,0.008200395,1.566801731,-0.283207781,32.82291,,,-0.017124403,32.73125,-0.245549284,21.45833333,-0.029065335,0.893981284,0.276284187,11.56555656,-0.00606482,1.691246407,-0.001268749,1.388330201
ISR,Israel,0.083414138,0.397980169,0.007293535,1.082031846,0.002577414,-1.222188575,0.001130347,1.114425285,-0.007848202,1.117774349,-0.00414053,19.7925565,0,10.1,0.122438525,38.13322878,-0.101226661,17.0625,-0.003257806,-0.552920157,0.438309372,12.05061196,-0.019283329,1.215038053,0.000732852,0.647629656
ITA,Italy,-0.016712659,0.318454445,-0.011911615,0.682573138,-0.016391403,0.822548009,-0.00139701,0.822839498,-0.017856913,0.75035013,-0.124817058,55.21878294,,,-0.002665002,34.80625,-0.301128962,19.52083333,0.011130628,-0.362242179,0.374737613,16.339821,-0.008542944,0.29679132,-0.004444481,1.069465626
